CASE_LBL,LU_SUM,CIR_SUM,HS_SUM,CSV_SUM,OS_SUM,SFT_SUM,EJ_SUM,K_9.1,GP_SUM,CTX_SUM,CLB_SUM,FR_SUM,SI_SUM,STIM_SUM,ME_SUM,VP_SUM,OA_SUM,CWPP_SUM,A_SUM,B_SUM,C_SUM,D_SUM,E_SUM,F_SUM,K_7.1_A,HMP_SUM,var137,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,VAR00003,GP_YEAR,CWPP_YEAR,HMP_YEAR,VAR00001,GTheme1,GTheme2,GTheme3,GTheme4,GThemeTIME,GOVERALL,WFA_SUM,WFA_GP,WFA_CWPP,WFA_HMP,WSVI_SUM,WSVI_GP,WSVI_CWPP,WSVI_HMP,VAR00009,GP_TOTAL,CWPP_TOTAL,HMP_TOTAL,THREEPLANS_TOTAL,FIPS_ID
ALAMEDA_01,3,3,6,4,0,19,1.5,2,38.5,8,5,5,5,14.05,5,3,4,49.05,8.98,13,9,8,7,2,1,48.98, ,.1053,.0702,.8596,.8772,.2807, ,2012,2015,2021, ,3,5,3,3,3,3,.7,.62,.84,.64,.47,.28,.5,.63, ,38.5,49.05,48.98,.73,1
ALPINE_02,2,3,7,6,0,14,1.5,1,34.5,7,5,6,6,15.38,7,0,6,52.38,9.98,10,10,8,7,2,0,46.98, ,.3509,.5263,.4912,.193,.3509, ,2017,2018,2018, ,4,4,2,5,5,4,.75,.62,.87,.75,.16,.24,0,.25, ,34.5,52.38,46.98,.72,3
AMADOR_03,3,4,4,6,1,19.5,1.5,1,40,6,4.5,5,4,12.55,3,0,2,37.05,9.98,14,14,9,8,2,2,58.98, ,.193,.1579,.1754,.6667,.2281, ,2016,2004,2020, ,5,5,2,1,3,3,.71,.61,.57,.95,.38,.14,0,1, ,40,37.05,58.98,.73,5
BUTTE_04,4,4,5,4,2,20.5,6,2,47.5,5,2.5,4.5,4,12.73,3,0,3,34.73,8.98,14,12,10,8,1,2,55.98, ,.5965,.4386,.2456,.8596,.5965, ,2023,2022,2019, ,5,3,4,5,5,5,.77,.72,.64,.94,.59,.78,0,1, ,47.5,34.73,55.98,.74,7
CALAVERAS_05,4,4,5,7,1,19,2.5,1,43.5,8,5,6,5,16.05,7,4,4,55.05,9.98,13,10,9,7,2,2,52.98, ,.4211,.3509,.0526,0,.1053, ,2019,2020,2021, ,5,4,5,5,5,5,.77,.7,.86,.73,.76,.52,.75,1, ,43.5,55.05,52.98,.81,9
COLUSA_06,4,4,7,5,1,15.5,4.5,1,42,8,5,6,6,15.63,7,2,5,54.63,9.98,15,14,9,8,2,2,59.98, ,.5263,.9825,.7368,.1053,.5789, ,2012,2021,2019, ,5,4,5,4,4,4,.85,.7,.87,.97,.6,.43,.38,1, ,42,54.63,59.98,.84,11
CONTRA_COSTA_07,4,2,8,5,1,17,2,1,40,6,4.5,6,5,14.97,6,0,3,45.47,9.98,14,14,10,8,2,2,59.98, ,.1228,.4912,.6316,.1228,.1754, ,2005,2019,2018, ,5,4,3,4,3,4,.78,.65,.74,.96,.46,.38,0,1, ,40,45.47,59.98,.78,13
DEL_NORTE_08,3,2,6,1,1,8.5,1.5,1,24,5,5,6,5,14.71,6,3,6,50.71,9.98,14,14,8,8,2,2,57.98, ,.5789,.6842,.4035,.9649,.7719, ,2003,2020,2019, ,5,1,3,3,4,4,.73,.38,.87,.95,.66,.36,.63,1, ,24,50.71,57.98,.71,15
EL_DORADO_09,4,1,8,5,1,15.5,2,1,37.5,6,5,6,5,14.3,4,3,5,48.3,9.98,12,9,8,6,2,1,47.98, ,.0702,.1228,.1404,.0702,.0175, ,2019,2017,2017, ,5,4,5,5,5,5,.67,.58,.78,.66,.5,.38,.5,.63, ,37.5,48.3,47.98,.72,17
FRESNO_10,3,2,3,5,1,14,2,1,31,8,4.5,5,4,14.63,3,0,3,42.13,9.98,14,14,9,8,2,2,58.98, ,.9298,.8947,.9123,.7719,.9649, ,2000,2015,2018, ,5,5,1,5,5,5,.75,.55,.76,.95,.46,.38,0,1, ,31,42.13,58.98,.71,19
