CASE_LBL,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,GP_YEAR,CWPP_YEAR,HMP_YEAR,GTheme1,GTheme2,GTheme3,GTheme4,GThemeTIME,GOVERALL,WFA_SUM,WFA_GP,WFA_CWPP,WFA_HMP,WSVI_SUM,WSVI_GP,WSVI_CWPP,WSVI_HMP,GP_TOTAL_P,CWPP_TOTAL_P,HMP_TOTAL_P,THREEPLANS_TOTAL,FIPS_ID,LU_SUM,CIR_SUM,HS_SUM,CSV_SUM,OS_SUM,SFT_SUM,EJ_SUM,K_9.1,GP_TOTAL,CTX_SUM,CLB_SUM,FR_SUM,SI_SUM,STIM_SUM,ME_SUM,VP_SUM,OA_SUM,CWPP_TOTAL,A_SUM,B_SUM,C_SUM,D_SUM,E_SUM,F_SUM,K_7.1_A,HMP_TOTAL,WFIR_RISKS,MEAN_WHP,ExpectedAnnualHUExposed,ExpectedAnnualRelativeHURisk,WHPContinuousMean,WHPClassMean
ALAMEDA_01,.2807,.1053,.0702,.8596,.8772,2012,2015,2021,3,5,3,3,3,3,.59,.45,.84,.48,.32,.28,.39,.28,.62,.79,.79,.73,1,3,3,6,4,0,19,1.5,2,38.5,8,5,5,5,14.05,5,3,4,49.05,8.98,13,9,8,7,2,1,48.98,96.18199173,218,133.36,6396,838,2.3173
ALPINE_02,.3509,.3509,.5263,.4912,.193,2017,2018,2018,4,4,2,5,5,4,.62,.44,.87,.56,.08,.24,0,0,.56,.84,.76,.72,3,2,3,7,6,0,14,1.5,1,34.5,7,5,6,6,15.38,7,0,6,52.38,9.98,10,10,8,7,2,0,46.98,81.64174356,511,1.37,76,909,3.0904
AMADOR_03,.2281,.193,.1579,.1754,.6667,2016,2004,2020,5,5,2,1,3,3,.57,.43,.57,.71,.23,.15,0,.56,.65,.6,.95,.73,5,3,4,4,6,1,19.5,1.5,1,40,6,4.5,5,4,12.55,3,0,2,37.05,9.98,14,14,9,8,2,2,58.98,97.39102768,1602,62.51,4134,2367,3.575
BUTTE_04,.5965,.5965,.4386,.2456,.8596,2023,2022,2019,5,3,4,5,5,5,.63,.54,.64,.7,.44,.78,0,.56,.77,.56,.9,.74,7,4,4,5,4,2,20.5,6,2,47.5,5,2.5,4.5,4,12.73,3,0,3,34.73,8.98,14,12,10,8,1,2,55.98,98.79096405,773,157.49,9255,1769,3.0979
CALAVERAS_05,.1053,.4211,.3509,.0526,0,2019,2020,2021,5,4,5,5,5,5,.65,.53,.86,.55,.54,.51,.56,.56,.7,.89,.85,.81,9,4,4,5,7,1,19,2.5,1,43.5,8,5,6,5,16.05,7,4,4,55.05,9.98,13,10,9,7,2,2,52.98,99.42729876,2242,115.12,7760,3022,3.8235
COLUSA_06,.5789,.5263,.9825,.7368,.1053,2012,2021,2019,5,4,5,4,4,4,.7,.5,.87,.73,.42,.44,.28,.56,.68,.88,.97,.84,11,4,4,7,5,1,15.5,4.5,1,42,8,5,6,6,15.63,7,2,5,54.63,9.98,15,14,9,8,2,2,59.98,82.11899459,110,6.52,322,2147,2.2494
CONTRA_COSTA_07,.1754,.1228,.4912,.6316,.1228,2005,2019,2018,5,4,3,4,3,4,.65,.48,.74,.72,.31,.38,0,.56,.65,.73,.97,.78,13,4,2,8,5,1,17,2,1,40,6,4.5,6,5,14.97,6,0,3,45.47,9.98,14,14,10,8,2,2,59.98,95.92745784,184,236.64,10651,596,2.1348
DEL_NORTE_08,.7719,.5789,.6842,.4035,.9649,2003,2020,2019,5,1,3,3,4,4,.62,.28,.87,.71,.45,.36,.44,.56,.39,.82,.94,.71,15,3,2,6,1,1,8.5,1.5,1,24,5,5,6,5,14.71,6,3,6,50.71,9.98,14,14,8,8,2,2,57.98,84.18708241,243,5.85,356,2208,3.6041
EL_DORADO_09,.0175,.0702,.1228,.1404,.0702,2019,2017,2017,5,4,5,5,5,5,.56,.43,.78,.49,.35,.38,.39,.28,.6,.78,.77,.72,17,4,1,8,5,1,15.5,2,1,37.5,6,5,6,5,14.3,4,3,5,48.3,9.98,12,9,8,6,2,1,47.98,99.33184855,1088,174.87,10365,3521,4.0286
FRESNO_10,.9649,.9298,.8947,.9123,.7719,2000,2015,2018,5,5,1,5,5,5,.63,.42,.76,.71,.31,.38,0,.56,.5,.68,.95,.71,19,3,2,3,5,1,14,2,1,31,8,4.5,5,4,14.63,3,0,3,42.13,9.98,14,14,9,8,2,2,58.98,98.34552975,287,121.3,6236,806,2.1161
